 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
         142460 function calls (138985 primitive calls) in 0.341 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 hmac.py:4(<module>)
       10    0.000    0.000    0.001    0.000 enum.py:839(_decompose)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 exceptions.py:647(_find_exceptions)
        1    0.000    0.000    0.001    0.001 types.py:29(<module>)
       15    0.000    0.000    0.011    0.001 routing.py:698(compile)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
    36/19    0.000    0.000    0.220    0.012 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:6(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:464(_find_new_)
      118    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       30    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      105    0.000    0.000    0.002    0.000 sre_parse.py:96(closegroup)
      200    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.009    0.009 lexer.py:16(<module>)
       89    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.dlopen}
        1    0.000    0.000    0.001    0.001 helpers.py:10(<module>)
        1    0.000    0.000    0.019    0.019 nodes.py:14(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
      482    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.012    0.012 process.py:44(<module>)
        1    0.000    0.000    0.000    0.000 app.py:70(Flask)
        2    0.000    0.000    0.285    0.143 __init__.py:11(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
        1    0.000    0.000    0.005    0.005 util.py:248(_findSoname_ldconfig)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
        1    0.000    0.000    0.017    0.017 inspect.py:27(<module>)
        1    0.000    0.000    0.014    0.014 ssl.py:91(<module>)
      201    0.000    0.000    0.000    0.000 sre_parse.py:167(__setitem__)
       48    0.000    0.000    0.000    0.000 routing.py:182(parse_rule)
        1    0.000    0.000    0.004    0.004 process.py:10(<module>)
      106    0.000    0.000    0.000    0.000 enum.py:874(_power_of_two)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
      257    0.000    0.000    0.000    0.000 hmac.py:10(<genexpr>)
        1    0.000    0.000    0.000    0.000 mimetypes.py:66(__init__)
        1    0.000    0.000    0.049    0.049 request.py:68(<module>)
       56    0.000    0.000    0.000    0.000 inspect.py:180(iscoroutinefunction)
       13    0.000    0.000    0.000    0.000 inspect.py:614(cleandoc)
        1    0.000    0.000    0.143    0.143 __init__.py:16(<module>)
      125    0.000    0.000    0.000    0.000 __init__.py:420(<genexpr>)
        1    0.000    0.000    0.054    0.054 app.py:10(<module>)
       11    0.000    0.000    0.000    0.000 core.py:1614(_parse_decls)
        1    0.000    0.000    0.003    0.003 datastructures.py:10(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:11(<genexpr>)
        1    0.000    0.000    0.007    0.007 random.py:38(<module>)
      125    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
       11    0.000    0.000    0.000    0.000 core.py:1540(__init__)
       97    0.000    0.000    0.081    0.001 re.py:231(compile)
        1    0.000    0.000    0.001    0.001 __init__.py:24(<module>)
        1    0.000    0.000    0.102    0.102 http.py:18(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
      102    0.000    0.000    0.001    0.000 re.py:169(match)
       16    0.000    0.000    0.000    0.000 enum.py:114(__prepare__)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
       13    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:919(create_module)
        2    0.000    0.000    0.002    0.001 _compat.py:1(<module>)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
       15    0.000    0.000    0.011    0.001 routing.py:1208(add)
        1    0.000    0.000    0.015    0.015 utils.py:10(<module>)
      112    0.000    0.000    0.000    0.000 inspect.py:159(isfunction)
       10    0.000    0.000    0.001    0.000 enum.py:767(_create_pseudo_member_)
        5    0.000    0.000    0.000    0.000 uuid.py:106(__init__)
        1    0.000    0.000    0.009    0.009 uuid.py:45(<module>)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
      161    0.000    0.000    0.000    0.000 enum.py:630(<lambda>)
      100    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
       23    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      100    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      118    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
        2    0.000    0.000    0.005    0.002 decoder.py:2(<module>)
        1    0.000    0.000    0.112    0.112 wrappers.py:22(<module>)
       56    0.000    0.000    0.000    0.000 inspect.py:172(isgeneratorfunction)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
        1    0.000    0.000    0.004    0.004 filters.py:10(<module>)
       10    0.000    0.000    0.001    0.000 decorators.py:166(decorator)
        1    0.000    0.000    0.007    0.007 shutil.py:5(<module>)
        1    0.000    0.000    0.003    0.003 parse.py:28(<module>)
        1    0.000    0.000    0.142    0.142 exceptions.py:59(<module>)
        6    0.000    0.000    0.000    0.000 _range.py:295(_create_ranges)
        1    0.000    0.000    0.001    0.001 app.py:353(__init__)
      205    0.000    0.000    0.000    0.000 enum.py:594(name)
        1    0.000    0.000    0.004    0.004 unix_events.py:1(<module>)
        1    0.000    0.000    0.030    0.030 views.py:1(<module>)
        1    0.000    0.000    0.045    0.045 environment.py:10(<module>)
      243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        1    0.000    0.000    0.000    0.000 pprint.py:98(PrettyPrinter)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:728(create_module)
      198    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       49    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      118    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       11    0.000    0.000    0.000    0.000 core.py:1333(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.003    0.003 signal.py:1(<module>)
        1    0.000    0.000    0.002    0.002 runtime.py:10(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
        1    0.000    0.000    0.012    0.012 serving.py:37(<module>)
        1    0.000    0.000    0.003    0.003 pickle.py:24(<module>)
       15    0.000    0.000    0.000    0.000 sre_parse.py:257(getwhile)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1596(_make_netmask)
        1    0.000    0.000    0.033    0.033 client.py:69(<module>)
       82    0.000    0.000    0.000    0.000 enum.py:822(_high_bit)
      211    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:669(create_module)
       15    0.000    0.000    0.012    0.001 app.py:57(wrapper_func)
        1    0.000    0.000    0.006    0.006 context.py:1(<module>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1718(_parse_hextet)
        1    0.000    0.000    0.000    0.000 wrappers.py:99(BaseRequest)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
        1    0.000    0.000    0.006    0.006 extras.py:5(<module>)
      100    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
       25    0.000    0.000    0.000    0.000 ipaddress.py:476(_prefix_from_prefix_string)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       15    0.000    0.000    0.011    0.001 routing.py:673(bind)
      100    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
       14    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 coroutines.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2233(_IPv6Constants)
        1    0.000    0.000    0.023    0.023 base_events.py:14(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:986(_Unpickler)
        1    0.000    0.000    0.001    0.001 wsgi.py:10(<module>)
       34    0.000    0.000    0.000    0.000 utils.py:59(__init__)
      100    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
        1    0.000    0.000    0.031    0.031 utils.py:5(<module>)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1251(__init__)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.003    0.003 connection.py:10(<module>)
        1    0.000    0.000    0.005    0.005 tests.py:10(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
      100    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
       14    0.000    0.000    0.000    0.000 parser.py:82(split_opt)
        1    0.000    0.000    0.004    0.004 types.py:1(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:13(<module>)
        1    0.000    0.000    0.003    0.003 selector_events.py:5(<module>)
        1    0.000    0.000    0.000    0.000 tasks.py:1(<module>)
        1    0.000    0.000    0.004    0.004 compiler.py:10(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:5(HTTPStatus)
       25    0.000    0.000    0.000    0.000 _internal.py:180(__init__)
      143    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.005    0.005 __init__.py:99(<module>)
        1    0.000    0.000    0.000    0.000 compiler.py:244(CodeGenerator)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1099(_ip_int_from_string)
       11    0.000    0.000    0.000    0.000 os.py:664(__getitem__)
      125    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.001    0.001 socketserver.py:119(<module>)
        1    0.000    0.000    0.035    0.035 asyncsupport.py:11(<module>)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1866(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:65(__init__)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 server.py:613(<dictcomp>)
        1    0.000    0.000    0.009    0.009 server.py:32(<module>)
        1    0.000    0.000    0.002    0.002 ctx.py:10(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
